v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,stkcd,dt
1,1,0,40,3,1,0,4,6,45,1171,0,0,0,1,1744,1,1,1,0,1,0,1,1,1,1,000062,2013
1,1,1,12,17,1,0,16,18,44,-1,1,5,0,0,89786,1,1,1,1,1,1,1,1,1,1,000063,2011
1,1,1,11,16,1,0,16,19,45,-1,1,5,0,1,78402,1,1,1,1,1,1,1,1,1,1,000063,2012
1,1,1,10,16,1,0,18,21,46,-1,1,6,0,1,69093,1,1,1,1,1,1,1,1,1,1,000063,2013
1,1,0,3,5,1,1,2,7,45,228,0,1,0,1,249,1,0,0,0,1,0,1,1,0,1,000065,2011
1,1,0,2,5,1,1,2,7,46,239,0,1,0,0,260,1,0,0,0,1,0,1,1,0,1,000065,2012
1,1,0,6,5,1,1,2,7,47,271,0,1,0,0,289,1,0,0,0,1,0,1,1,0,1,000065,2013
1,1,1,6,7,1,0,3,5,42,10829,0,0,0,0,33593,1,1,0,1,1,1,1,1,1,1,000066,2011
1,1,1,7,8,1,1,3,5,44,14235,0,0,0,1,42371,1,1,0,1,1,1,1,1,1,1,000066,2012
1,1,1,6,7,1,1,6,7,47,13068,0,0,1,0,40558,1,1,0,1,1,1,1,1,1,1,000066,2013
1,1,0,11,6,1,0,5,8,48,7701,0,0,0,0,20974,1,1,1,1,1,1,1,1,0,1,000069,2011
1,1,0,11,16,1,0,5,8,49,9089,0,0,0,0,21425,1,1,1,1,1,1,1,1,0,1,000069,2012
1,1,0,20,15,1,1,6,9,49,8108,0,0,0,1,21454,1,1,1,1,1,1,1,1,0,1,000069,2013
1,1,0,6,11,1,1,5,9,51,447,0,0,0,1,1598,1,0,0,1,1,1,1,1,0,1,000070,2011
1,1,0,7,8,1,1,5,8,50,819,0,0,0,1,1776,1,0,0,1,1,1,1,1,0,1,000070,2012
1,1,0,8,15,1,1,4,9,50,832,0,0,0,1,1945,1,0,0,1,1,1,1,1,0,1,000070,2013
1,1,0,13,19,1,0,3,5,54,2255,0,1,0,0,4177,0,1,0,1,1,1,1,1,0,0,000078,2011
1,1,0,12,14,1,0,3,5,55,2431,0,1,0,1,4511,0,1,0,1,1,1,1,1,0,0,000078,2012
1,1,0,15,23,1,1,8,11,53,2221,0,2,1,1,4798,0,1,0,1,1,1,1,1,0,0,000078,2013
1,1,0,6,-1,1,0,-1,5,47,544,0,0,0,1,544,1,1,1,1,1,1,1,1,0,1,000088,2011
1,1,0,9,1,1,0,-1,5,48,529,0,-1,0,1,529,1,1,1,1,1,1,1,1,0,1,000088,2012
1,1,0,6,2,1,0,4,5,48,187,0,1,0,1,531,1,1,1,1,1,1,1,1,0,1,000088,2013
1,1,0,10,0,1,0,-1,8,49,2001,0,-1,0,1,4222,1,1,1,1,0,1,1,1,0,1,000089,2011
1,1,0,11,1,1,0,-1,7,50,2488,0,0,0,1,4592,1,1,1,1,0,1,1,1,0,1,000089,2012
1,1,0,6,1,1,0,-1,11,50,2782,1,-1,0,0,4896,1,1,1,1,0,1,1,1,0,1,000089,2013
1,1,0,14,0,1,1,5,5,47,588,0,1,0,0,1199,1,1,1,1,1,1,1,1,0,1,000090,2011
1,1,0,10,0,1,1,5,5,47,425,0,1,0,0,2232,1,1,1,1,1,1,1,1,0,1,000090,2012
1,1,0,13,-1,1,0,7,8,48,980,0,0,0,1,2255,1,1,1,1,1,1,1,1,0,1,000090,2013
1,1,,,,,,,,,,,,,,,,,,,,,,,,,000096,2011
1,1,1,11,11,1,0,-1,6,49,120,0,0,0,1,371,1,1,1,1,1,1,1,1,0,1,000096,2012
1,1,1,11,13,1,0,2,6,50,121,0,0,0,1,371,1,1,1,1,1,1,1,1,0,1,000096,2013
1,1,0,2,4,1,0,-1,8,47,559,1,0,0,0,894,1,0,0,1,1,0,1,1,1,1,000099,2011
1,1,0,11,8,1,0,-1,8,48,647,1,-1,0,1,878,1,0,0,1,1,0,1,1,1,1,000099,2012
1,1,0,2,5,1,1,4,9,47,297,0,0,0,1,922,1,0,0,1,1,0,1,1,1,1,000099,2013
1,1,1,5,-1,1,0,3,5,45,16435,0,2,0,1,22920,1,1,1,1,1,1,1,1,0,1,000100,2011
1,1,1,5,14,1,0,4,5,47,20150,0,2,0,1,26424,1,1,1,1,1,1,1,1,0,1,000100,2012
1,1,1,5,50,1,0,15,19,47,23191,1,8,0,1,31519,1,1,1,1,1,1,1,1,0,1,000100,2013
1,1,0,3,0,1,0,1,4,51,50,0,0,0,0,160,1,1,0,1,0,0,1,1,0,0,000150,2011
1,1,0,3,0,1,0,1,3,43,134,0,0,0,1,170,1,1,0,1,0,0,1,1,0,0,000150,2012
1,1,0,3,-1,1,0,1,5,45,108,0,0,0,0,177,1,1,0,1,0,0,1,1,0,0,000150,2013
1,1,0,2,1,1,0,-1,5,50,288,0,0,0,1,288,1,1,0,1,0,0,1,1,1,1,000151,2011
1,1,0,2,1,1,0,-1,3,-1,190,0,0,0,1,256,1,1,0,1,0,0,1,1,1,1,000151,2012
1,1,0,2,1,1,0,-1,5,50,172,0,-1,0,1,234,1,1,0,1,0,0,1,1,1,1,000151,2013
1,1,1,6,-1,1,0,-1,8,46,1585,0,0,0,0,4966,1,0,1,1,1,0,1,1,0,1,000153,2011
1,1,0,8,-1,1,0,-1,8,47,1918,0,0,0,0,5467,1,0,1,1,1,0,1,1,0,1,000153,2012
1,1,0,15,-1,0,0,1,8,47,1783,0,0,0,1,4992,1,0,1,1,1,0,1,1,0,1,000153,2013
1,1,0,5,0,1,0,-1,7,46,3456,0,0,0,1,4842,1,0,0,1,0,0,1,1,1,1,000155,2011
1,1,0,4,0,1,0,4,7,48,1943,0,0,0,0,4966,1,0,0,1,0,0,1,1,1,1,000155,2012
1,1,0,5,0,1,0,4,7,49,2495,0,0,0,1,3937,1,0,0,1,0,0,1,1,1,1,000155,2013
1,1,0,5,2,1,0,-1,3,45,544,0,0,0,0,890,1,1,1,1,1,0,1,1,1,1,000156,2011
1,1,0,9,0,1,0,6,9,41,2675,0,2,0,1,3802,1,1,1,1,1,0,1,1,1,1,000156,2012
1,1,0,11,-1,1,0,7,9,43,3200,0,1,0,0,4371,1,1,1,1,1,0,1,1,1,1,000156,2013
1,1,0,34,-1,1,1,15,21,51,16995,0,1,1,0,28833,1,1,1,1,1,1,1,1,1,1,000157,2011
1,1,1,6,-1,1,1,14,20,50,20014,0,1,1,1,31707,1,1,1,1,1,1,1,1,1,1,000157,2012
1,1,1,35,31,1,1,15,21,51,17424,0,1,1,1,27028,1,1,1,1,1,1,1,1,1,1,000157,2013
1,1,0,8,-1,1,0,-1,4,48,1160,1,0,0,0,16741,1,0,0,1,1,0,1,1,1,1,000158,2011
1,1,0,3,0,1,0,0,6,49,1956,0,0,0,1,13042,1,0,0,1,1,0,1,1,1,1,000158,2012
1,1,0,3,4,1,0,1,9,49,1363,1,0,0,0,8768,1,0,0,1,1,0,1,1,1,1,000158,2013
1,1,1,5,-1,1,0,2,5,48,214,0,0,0,0,591,1,0,0,1,1,0,1,1,1,1,000159,2011
1,1,1,5,-1,1,0,2,5,48,-1,0,0,0,0,-1,1,0,0,1,1,0,1,1,1,1,000159,2012
1,1,1,5,-1,1,0,2,5,49,-1,0,0,0,0,-1,1,0,0,1,1,0,1,1,1,1,000159,2013
1,1,0,5,3,1,0,1,7,42,-1,0,0,0,0,600,1,0,0,1,1,0,1,1,1,1,000301,2011
1,1,0,5,3,1,0,1,7,41,214,0,0,0,0,625,,,,,,,,,,,000301,2012
1,1,0,5,3,1,0,1,4,44,218,0,0,0,1,625,1,0,0,1,1,0,1,1,1,1,000301,2013
1,1,0,13,-1,1,0,11,17,48,17420,0,2,1,1,41426,1,1,1,1,1,1,1,1,0,1,000338,2011
1,1,1,12,13,1,0,10,16,49,-1,0,2,1,1,60916,1,1,1,1,1,1,1,1,0,1,000338,2012
1,1,1,12,13,1,1,11,17,50,-1,0,2,1,1,62134,1,1,1,1,1,1,1,1,0,1,000338,2013
1,1,0,19,-1,1,0,2,9,45,6020,0,0,1,1,6020,0,0,1,0,0,0,1,1,1,1,000400,2011
1,1,0,5,-1,1,0,2,7,47,4252,0,0,0,0,5479,0,0,1,0,0,0,1,1,1,1,000400,2012
1,1,0,12,3,1,1,3,8,45,4043,0,0,0,0,5169,0,0,1,0,0,0,1,1,1,1,000400,2013
1,1,0,51,-1,1,0,2,4,50,6170,0,1,0,0,17390,1,0,1,1,1,0,1,1,1,1,000401,2011
1,1,0,51,-1,1,0,4,7,53,6780,0,1,0,0,18066,1,0,1,1,1,0,1,1,1,1,000401,2012
1,1,0,70,-1,1,0,4,7,54,5819,0,1,0,0,18064,1,0,1,1,1,0,1,1,1,1,000401,2013
1,1,0,26,-1,1,0,13,16,46,1100,0,0,0,1,2492,1,1,1,0,1,0,1,1,0,0,000402,2011
1,1,0,23,-1,1,0,12,15,46,1348,0,0,0,0,2621,1,1,1,0,1,0,1,1,0,0,000402,2012
1,1,0,10,35,1,0,12,15,47,1216,0,0,0,1,2489,1,1,1,0,1,0,1,1,0,0,000402,2013
1,1,0,10,0,1,0,2,5,47,339,0,0,0,1,983,0,0,0,0,0,0,1,1,0,1,000403,2011
1,1,0,14,0,1,0,2,5,46,232,0,0,0,0,641,0,0,0,0,0,0,1,1,0,1,000403,2012
1,1,0,5,2,1,0,5,7,46,1232,0,1,0,0,6343,1,0,0,1,1,0,1,1,0,1,000404,2011
1,1,0,6,3,1,0,5,7,48,1309,0,1,0,1,5983,1,0,0,1,1,0,1,1,0,1,000404,2012
1,1,0,21,-1,1,0,4,7,46,987,0,0,0,1,1551,1,1,1,1,1,0,1,1,1,1,000407,2011
1,1,0,9,1,1,0,4,7,45,994,0,0,0,1,1552,1,1,1,1,1,0,1,1,1,1,000407,2012
1,1,0,5,0,0,0,0,8,49,35,0,0,0,0,95,0,0,0,0,0,0,1,1,1,1,000408,2011
1,1,0,3,1,1,0,0,7,50,-1,0,0,0,0,96,0,0,0,0,0,0,1,1,1,1,000408,2012
1,1,0,4,0,1,0,1,5,40,21,0,0,0,1,21,0,0,0,0,0,0,1,1,1,1,000409,2011
1,1,0,6,-1,1,0,2,7,44,187,0,0,0,1,1041,0,0,0,0,0,0,1,1,1,1,000409,2012
